sheet	oldcolname	newcolname
fallen	Month	month
fallen	Day	day
fallen	Sub_plot_code	subplot_code
fallen	Transect_section_letter	transect_section_letter
fallen	Code_of_the_piece	code_of_piece
fallen	Cross_section_width	diameter_width_prior
fallen	New_Cross_section_width	diameter_width.mm
fallen	New_Cross_section_hight	diameter_height.mm
fallen	Penetration_<_200_mm	penetration<200mm
fallen	Penetration_=_200_mm	penetration=200mm
fallen	Branchfall	branchfall
fallen	Tag	tag
fallen	Inclinacion	inclination
fallen	ubicacion_de_la_muetra_en_grados	orientation_degrees
fallen	Muestra_en_el_aire	suspended
fallen	Muestra_en_el_suelo	soil_contact
fallen	Notes_2018	notes_prior
fallen	Notes_2019	notes
fallen	RT	RT
fallen	RR	RR
fallen	TT	TT
fallen	TC	TC
fallen	TS	TS
fallen	TV	TV
fallen	MC	MC
fallen	MS	MS
fallen	Year	year
standing	Month	month
standing	Day	day
standing	Sub_plot_code	subplot_code
standing	Transect_section_letter	transect_section_letter
standing	Code_of_the_piece	code_of_piece
standing	Diameter_2018	diameter_prior
standing	New_diameter_2019	diameter_one.mm
standing	Height	height
standing	POM	POM
standing	Penetration_<_200_mm	penetration<200mm
standing	Penetration=_200m	penetration=200mm
standing	Branches	branches
standing	Tag	tag
standing	Notes2018	notes_prior
standing	Notes_2019	notes
standing	Con_corteza	MC
standing	Sin_corteza	MS
standing	Year	year
standing	Note_taker	observer
standing	Irregular_diameter	irregular_diameter_one.mm
standing	...21	notes2
lessstanding	Month	month
lessstanding	Day	day
lessstanding	Sub_plot_code	subplot_code
lessstanding	Transect_section_letter	transect_section_letter
lessstanding	Code_of_the_piece	code_of_piece
lessstanding	Diameter_2018	diameter_prior
lessstanding	New_diameter_2019	diameter_one.mm
lessstanding	Height	height
lessstanding	POM	POM
lessstanding	Branches	branches
lessstanding	Tag	tag
lessstanding	Notes	notes_prior
lessstanding	Notes_2019	notes
lessstanding	Year	year
lessstanding	Note_taker	observer
